DATETIME,RECIPE,TOOL,INDEX,VALUE,X,Y,REFERANCE,SUBSTANCE,SUBSTANCE_X_LENGTH,SUBSTANCE_Y_LENGTH,SUBSTANCE_PERIMETER,SUBSTANCE_AREA,SUBSTANCE_ELONGATION,FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,STRING
2018.02.23 10:04:59 318,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 318.bmp
2018.02.23 10:04:59 344,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 344.bmp
2018.02.23 10:04:59 373,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 373.bmp
2018.02.23 10:04:59 401,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 401.bmp
2018.02.23 10:04:59 429,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 429.bmp
2018.02.23 10:04:59 461,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 461.bmp
2018.02.23 10:04:59 492,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 492.bmp
2018.02.23 10:04:59 532,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 532.bmp
2018.02.23 10:04:59 566,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 566.bmp
2018.02.23 10:04:59 594,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 594.bmp
2018.02.23 10:04:59 628,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 628.bmp
